FileName:		ExptData
System:			Ti-V											
Author:			Vikas	
version:		201006
Compatible with:	expcvm.05											
Format:-----------------------------------------------------------												
DataId	DataType                y       yMod(md[0])    sig(Y)	Wt.	x(md[1])    x1(md[2])	x2(md[3])	References			
#************************START#
//alpha/(alpha+beta) boundary												
1	CXXA-A3-TO-1-A2-T-1	0.0165	0.0165	0.01	1	1073	0.0165  0.1	52-ADE-T			
2	CXXA-A3-TO-1-A2-T-1	0.026	0.026	0.01	1	1023	0.026   0.15	52-ADE-T			
3	CXXA-A3-TO-1-A2-T-1	0.03	0.03	0.01	1	973	0.03    0.2	52-ADE-T			
4	CXXA-A3-TO-1-A2-T-1	0.037	0.037	0.01	1	873	0.037   0.25	77-MOL-T			
5	CXXA-A3-TO-1-A2-T-1	0.037	0.037	0.01	1	773	0.037   0.3	77-MOL-T			
6	CXXA-A3-TO-1-A2-T-1	0.025	0.025	0.01	1	673	0.025   0.35	77-MOL-T

//(alpha+beta)/beta boundary
7	CXTB-A3-TO-1-A2-T-1	1104	1104	10	1	1104    0.0025  0.0193  51-MCQ			
8	CXTB-A3-TO-1-A2-T-1	1078	1078	10	1	1078    0.0025  0.0298	51-MCQ			
9	CXTB-A3-TO-1-A2-T-1	1052	1052	10	1	1052    0.003   0.0440	51-MCQ			
//10	CXXB-A3-TO-1-A2-T-1	0.0899	0.0899	0.01	1	1081	0.0025	0.0899	72-RON			
//11	CXXB-A3-TO-1-A2-T-1	0.1709	0.1709	0.01	1	981	0.03	0.1709	72-RON			
//12	CXXB-A3-TO-1-A2-T-1	0.2212	0.2212	0.01	1	920	0.03	0.2212	72-RON			
13	CXTB-A3-TO-1-A2-T-1	1152	1152	10	1	1152    0.002   0.0108	68-FED
14	CXXB-A3-TO-1-A2-T-1	0.0252	0.0252	0.01	1	1117	0.002	0.0252	68-FED
15	CXXB-A3-TO-1-A2-T-1	0.036	0.036	0.01	1	1095	0.0025	0.036	68-FED
16	CXXB-A3-TO-1-A2-T-1	0.0827	0.0827	0.01	1	1024	0.003	0.0827	68-FED			
17	CXXB-A3-TO-1-A2-T-1	0.1007	0.1007	0.01	1	999	0.0035	0.1007	68-FED
18	CXXB-A3-TO-1-A2-T-1	0.1007	0.1007	0.01	1	1034	0.02	0.1007	52-PIE			
19	CXXB-A3-TO-1-A2-T-1	0.1403	0.1403	0.01	1	973	0.025	0.1403	52-PIE			
20	CXXB-A3-TO-1-A2-T-1	0.1709	0.1709	0.01	1	923	0.003	0.1709	52-PIE			
21	CXXB-A3-TO-1-A2-T-1	0.0320	0.0320	0.01	1	1122	0.01	0.0320	61-ERM			
22	CXXB-A3-TO-1-A2-T-1	0.055	0.055	0.01	1	1073	0.02	0.055	61-ERM-T			
23	CXXB-A3-TO-1-A2-T-1	0.1030	0.1030	0.01	1	1023	0.03	0.1030	61-ERM			
24	CXXB-A3-TO-1-A2-T-1	0.135	0.135	0.01	1	973	0.03	0.135	61-ERM-T			
25	CXXB-A3-TO-1-A2-T-1	0.1809	0.1809	0.01	1	923	0.025	0.1809	61-ERM			
26	CXTB-A3-TO-1-A2-T-1	873	873	10	1	873     0.02    0.24	61-ERM-T			
27	CXTB-A3-TO-1-A2-T-1	823	823	10	1	823     0.01    0.312	61-ERM-T

//Solidus			
28	CXTA-A2-T-1-L-RK-1	1921	1921	10	1	1921    0.10	0.2	69-RUD			
29	CXTA-A2-T-1-L-RK-1	1903	1903	10	1	1903    0.2	0.3	69-RUD-T			
30	CXTA-A2-T-1-L-RK-1	1887	1887	10	1	1887    0.30	0.35	69-RUD			
31	CXTA-A2-T-1-L-RK-1	1882	1882	10	1	1882    0.33	0.35	69-RUD
32      CXTA-A2-T-1-L-RK-1	1877	1877	10	1	1877    0.35	0.35	69-RUD			
33	CXTB-L-RK-1-A2-T-1	1881	1881	10	1	1881    0.35    0.4	69-RUD-T			
34	CXTB-L-RK-1-A2-T-1	1888	1888	10	1	1888    0.4     0.48	69-RUD			
35	CXTB-L-RK-1-A2-T-1	1907	1907	10	1	1907    0.4     0.55	69-RUD-T			
36	CXXB-L-RK-1-A2-T-1	0.7	0.7	0.01	1	1944	0.5	0.7	69-RUD-T			
37	CXXB-L-RK-1-A2-T-1	0.85	0.85	0.01	1	2056	0.5	0.85	69-RUD-T			
#************************STOP#
