 
FileName        : ExpData.txt								
Author          : VJ
Last Updated    : 210119
Competible with :expcvm.05								
Format:-----------------------------------------------------------									
DataId	DataType	       y      yMod   sig(Y)  	Wt.    	x      	x1     	x2     	References

#************************START#
//SOLIDUS(ROG)
1	CXTB-L-RK-1-A2-T-1	2078	2078	10	1	2078    0.783   0.95	55ROG
2	CXTB-L-RK-1-A2-T-1	2043	2070	10	1	2070    0.783   0.94	55ROG
3	CXTB-L-RK-1-A2-T-1	2063	2063	10	1	2063    0.783   0.92	55ROG
4	CXTB-L-RK-1-A2-T-1	2048	2048	10	1	2048    0.783   0.91	55ROG
5	CXTB-L-RK-1-A2-T-1	2043	2043	10	1	2043    0.783   0.88	55ROG
6	CXTB-L-RK-1-A2-T-1	2038	2043	10	0	2038    0.783   0.87	55ROG
7	CXTB-L-RK-1-A2-T-1	2043	2043	10	0	2043    0.783   0.86	55ROG
8	CXTB-L-RK-1-A2-T-1	2038	2038	10	1	2038    0.783   0.85	55ROG
9	CXTB-L-RK-1-A2-T-1	2018	2018	10	1	2018    0.783   0.83	55ROG
10	CXTB-L-RK-1-A2-T-1	2018    2018	10	0	2018    0.783   0.80	55ROG
11	CXTA-A2-T-1-L-RK-1	2008	2008	10	1	2008    0.78	0.783	55ROG
12	CXTA-A2-T-1-L-RK-1	2018	2018	10	1	2018    0.75	0.783	55ROG
13	CXTA-A2-T-1-L-RK-1	2023    2023	10	1	2023    0.7	0.783	55ROG
14	CXTA-A2-T-1-L-RK-1	2063	2063	10	1	2063    0.6	0.783	55ROG
15	CXTA-A2-T-1-L-RK-1	2083	2083	10	1	2083    0.5	0.783	55ROG
16	CXTA-A2-T-1-L-RK-1	2123	2123	10	1	2123    0.4	0.783	55ROG
17	CXTA-A2-T-1-L-RK-1	2223	2223	10	1	2223    0.3	0.783	55ROG
18	CXTA-A2-T-1-L-RK-1	2338	2338	10	0	2338    0.2	0.783	55ROG
19	CXTA-A2-T-1-L-RK-1	2493	2493	10	0	2493    0.1	0.783	55ROG

//SOLIDUS(LUN)
20	CXTB-L-RK-1-A2-T-1	2083	2083	10	1	2083    0.783   0.93	60LUN
21	CXTB-L-RK-1-A2-T-1	2051	2051	10	1	2051    0.783   0.88	60LUN
22	CXTB-L-RK-1-A2-T-1	2028	2028	10	1	2028    0.783   0.87	60LUN
23	CXTB-L-RK-1-A2-T-1	2033	2033	10	1	2033    0.783   0.84	60LUN
24	CXTB-L-RK-1-A2-T-1	2028	2028	10	1	2028    0.783   0.82	60LUN
25	CXTB-L-RK-1-A2-T-1	2053	2053	10	1	2053    0.783   0.81	60LUN
26	CXTB-L-RK-1-A2-T-1	2018	2018	10	1	2018    0.783   0.8	60LUN
27	CXTB-L-RK-1-A2-T-1	2015	2015	10	1	2015    0.783   0.79    60LUN
28	CXTA-A2-T-1-L-RK-1	2028	2028	10	0	2028    0.77	0.783	60LUN
29	CXTA-A2-T-1-L-RK-1	2018	2018	10	1	2018    0.74	0.783	60LUN
30	CXTA-A2-T-1-L-RK-1	2047	2047	10	1	2047    0.71	0.783	60LUN
31	CXTA-A2-T-1-L-RK-1	2280	2280	10	1	2280    0.28	0.783	60LUN
32	CXTA-A2-T-1-L-RK-1	2417	2417	10	1	2417    0.19	0.783	60LUN
33	CXTA-A2-T-1-L-RK-1	2540	2540	10	0	2540    0.09	0.783	60LUN
34	CXTA-A2-T-1-L-RK-1	2561	2561	10	0	2561    0.07	0.783	60LUN

//LIQUIDUS(LUN)
35	CXTB-A2-T-1-L-RK-1	2127	2127	10	1	2127    0.01    0.61	60LUN
36	CXTB-A2-T-1-L-RK-1	2375	2375	10	1	2375    0.01    0.39	60LUN
37	CXTB-A2-T-1-L-RK-1	2544	2544	10	1	2544    0.01    0.19	60LUN
38	CXTB-A2-T-1-L-RK-1	2073	2073	10	0	2073    0.01    0.711	60LUN
39	CXTB-A2-T-1-L-RK-1	2196	2196	10	0	2196    0.01    0.50	60LUN
40	CXTB-A2-T-1-L-RK-1	2408	2408	10	0	2408    0.01    0.282	60LUN

//MG bcc(Nb)+bcc(Zr)/bcc(Zr)
40	MGT2-A2-T-1	        1223	1223	5.01	1	1223	0.01	0.525	72FLE
41	MGT2-A2-T-1	        1173	1173	10.01	1	1173	0.01	0.57	72FLE
42	MGT2-A2-T-1	        1123	1123	10.05	1	1123	0.01	0.64	72FLE
43	MGT2-A2-T-1	        1073	1073	10.05	1	1073	0.01	0.66	72FLE
44	MGT2-A2-T-1	        1023	1023	10.05	1	1023	0.01	0.725	72FLE
45	MGT2-A2-T-1	        998	998	10.01	1	998	0.08	0.75	72EFF
46	MGT2-A2-T-1	        908	908	10.01	1	908	0.08	0.80	72EFF
47	MGT2-A2-T-1	        1071	1071	10.01	1	1071	0.08	0.70	72EFF
//48	MGT2-A2-T-1	        893	893	1.01	1.0	893	0.01    0.8523	72FLE-critical point
//49	MGX2-A2-T-1	        0.8523	0.8523	0.01	1.0	893	0.01    0.8523	72FLE-critical point

//BETA/(BETA+ALPHA) BOUNDARY
//21       CXXA-A2-T-1-A3-TO-1	0.970	0.97	0.01	0.0	1118	0.97	0.99	55ROG
//22       CXXA-A2-T-1-A3-TO-1	0.960	0.96	0.01	0.0	1088	0.96	0.99	55ROG
21       CXXA-A2-T-1-A3-TO-1	0.920	0.92	0.01	1.0	1020	0.92	0.99	55ROG
22       CXXA-A2-T-1-A3-TO-1	0.900	0.90	0.01	1.0	998	0.90	0.99	55ROG
23       CXXA-A2-T-1-A3-TO-1	0.880	0.88	0.01	1.0	965	0.88	0.99	55ROG
24       CXXA-A2-T-1-A3-TO-1	0.870	0.87	0.01	1.0	958	0.87	0.99	55ROG
25       CXXA-A2-T-1-A3-TO-1	0.860	0.86	0.01	1.0	937	0.86	0.99	55ROG
