FileName:       ExpData-tizr.txt							
Author:         VJ
last updated:	190511								
Format:-----------------------------------------------------------									
DataId	DataType		y           yMod    sig(Y)  Wt.     x           x1          x2      References

 


#************************START#
//Enthalpy of mixing in liquid phase
00      Hm-L-RK-1              -5500        0       250    1.0     2347       0.50    0      1999Thied
01      Hm-L-RK-1              -5200        0       250    1.0     2347       0.61    0      1999Thied
02      Hm-L-RK-1              -4600        0       250    1.0     2347       0.70    0      1999Thied
03      Hm-L-RK-1              -4000        0       250    1.0     2347       0.75    0      1999Thied
04      Hm-L-RK-1              -3300        0       250    1.0     2347       0.80    0      1999Thied
05      Hm-L-RK-1              -2700        0       250    1.0     2347       0.90    0      1999Thied
06      Hm-L-RK-1              -5300        0       250    1.0     2336       0.60    0      1999Thied
07      Hm-L-RK-1              -4400        0       250    1.0     2336       0.70    0      1999Thied
08      Hm-L-RK-1              -3600        0       250    1.0     2336       0.80    0      1999Thied
09      Hm-L-RK-1              -1900        0       250    1.0     2336       0.90    0      1999Thied
10      Hm-L-RK-1              -930         0       250    1.0     2336       0.95    0      1999Thied
11      Hm-L-RK-1              -5300        0       250    1.0     2337       0.50    0      1999Thied
12      Hm-L-RK-1              -4900        0       250    1.0     2337       0.60    0      1999Thied
13      Hm-L-RK-1              -4600        0       250    1.0     2337       0.70    0      1999Thied
14      Hm-L-RK-1              -3600        0       250    1.0     2337       0.78    0      1999Thied
15      Hm-L-RK-1              -1900        0       250    1.0     2337       0.90    0      1999Thied
16      Hm-L-RK-1              -500         0       250    1.0     2260       0.02    0      1999Thied
17      Hm-L-RK-1              -1000        0       250    1.0     2260       0.05    0      1999Thied
18      Hm-L-RK-1              -1700        0       250    1.0     2260       0.10    0      1999Thied
19      Hm-L-RK-1              -4100        0       250    1.0     2112       0.26    0      1999Thied
20      Hm-L-RK-1              -2000        0       250    1.0     2112       0.10    0      1999Thied
21      Hm-L-RK-1              -2700        0       250    1.0     2112       0.20    0      1999Thied
22      Hm-L-RK-1              -4700        0       250    1.0     2111       0.32    0      1999Thied

//Congruent Minima Liquid+A2
23      CRPT-L-RK-1-A2-T-1     1805        1805        1          1       2000        0.35        0.0     2017KCHARI 

//RUDY1969 FOR SOLIDUS BOUNDARY
24	CXXB-L-RK-1-A2-T-1	0.910	0.910	0.01	0.0	2100	0.5	0.99	69RUD
24	CXXB-L-RK-1-A2-T-1	0.900	0.900	0.01	0.0	2050	0.5	0.99	69RUD
//24	CXXB-L-RK-1-A2-T-1	0.899	0.899	0.01	0.0	2000	0.5	0.99	69RUD
24	CXXB-L-RK-1-A2-T-1	0.799	0.799	0.01	1.0	1979	0.5	0.8	69RUD
24	CXXB-L-RK-1-A2-T-1	0.750	0.750	0.01	0.0	1950	0.5	0.99	69RUD
24	CXXB-L-RK-1-A2-T-1	0.720	0.720	0.01	0.0	1900	0.5	0.99	69RUD
25	CXXB-L-RK-1-A2-T-1	0.646	0.646	0.01	1.0	1862	0.5	0.646	69RUD
24	CXXB-L-RK-1-A2-T-1	0.550	0.550	0.01	0.0	1850	0.5	0.99	69RUD
24	CXXB-L-RK-1-A2-T-1	0.520	0.520	0.01	0.0	1840	0.5	0.99	69RUD
